Blog	book	way	company	build	latest	episode	go	deep	into	talking	process	find	most	real	life	keep	reading	recently	someone	here	know	your	team	wrote	day	questions	asked	part	our	something	happened	me	entire	earlier	month	released	stop	running	work	getting	product	goes	small	great	do	being	than	might	if	want	there	no	been	made	even	human	may	around	five	open	support	well	every	single	read	am	my	won	tell	anyone	think	were	bad	m	g	would	among	them	re	sure	six	phone	put	out	call	twitter	he	order	all	hour	back	down	since	including	job	few	people	over	pay	less	now	self	successful	web	app	first	business	us	away	take	some	america	said	different	john	isn	same	thing	d	like	co	july	also	so	please	don	did	times	get	their	york	debate	important	who	never	while	trump	will	because	could	had	person	just	doing	morning	after	post	happy	moment	american	quite	perhaps	really	time	possible	everything	good	things	started	better	until	rather	years	though	does	amazon	love	much	give	off	page	last	through	site	still	his	ideas	system	aren	able	kind	according	yet	again	full	technology	these	going	actually	later	hard	feel	too	only	world	end	car	many	must	stuff	got	used	fact	ever	during	national	security	u	president	says	case	let	took	went	general	best	bit	money	past	its	science	room	whether	making	another	any	health	nice	side	care	industry	other	public	maybe	third	set	businesses	anything	power	along	then	need	long	enough	make	start	ll	pretty	mean	taking	others	nothing	stay	home	change	always	internet	should	media	why	ve	months	today	finally	least	building	friend	continue	myself	comes	nearly	seven	year	see	data	help	ask	right	say	two	under	second	where	found	group	watch	facebook	mind	man	ago	question	fix	tech	version	series	week	thanks	helping	friends	own	write	writing	posts	usually	original	those	cool	ten	list	price	high	easy	appeared	next	online	him	short	drive	share	favorite	try	use	official	cost	days	left	once	often	service	especially	else	photos	san	art	higher	looks	four	career	social	summer	experience	nbsp	doesn	matter	early	place	example	growing	thinking	true	probably	google	working	called	live	future	news	number	services	together	show	blog	idea	top	link	using	b	each	which	both	based	look	via	very	free	create	added	watching	fun	name	smart	living	feature	search	results	several	run	links	come	hand	simple	already	photo	hit	game	lost	seem	makes	design	street	view	content	tools	traffic	needs	old	play	tool	within	users	little	against	coming	brand	email	features	story	green	companies	far	report	talk	lot	water	large	video	shows	apple	line	almost	pro	point	amp	age	big	kids	movie	th	her	city	youtube	young	woman	known	she	remember	course	done	before	project	update	deal	seen	million	following	personal	ways	half	tv	night	family	network	turn	local	without	com	check	looking	key	music	bring	available	learn	event	couple	playing	itself	space	weeks	didn	places	problem	community	wanted	whole	learned	sense	face	trying	state	level	school	led	yes	thought	clear	program	takes	understand	become	helped	lives	couldn	wasn	between	everyone	light	means	such	cover	three	stories	party	spend	camera	hope	having	cnn	donald	house	article	minutes
pharyngula	0	0	0	0	0	0	3	6	1	0	0	0	0	1	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	1	1	1	3	1	1	0	0	2	2	0	4	0	0	1	0	0	0	4	1	0	0	4	1	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	3	2	0	2	0	0	2	3	0	0	0	0	0	0	0	2	1	0	2	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Seth's Blog	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	1	4	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	8	3	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	2	1	0	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	4	0	0	0	1	0	0	0	0	2	0	1	2	2	2	0	1	2	0	1	1	2	0	0	0	0	0	1	0	4	0	0	2	1	0	0	0	0	0	0	0	1	2	2	0	1	1	0	0	0	0	0	3	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	4	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
Slashdot	0	3	10	4	4	0	1	0	3	0	0	1	3	1	1	1	0	0	1	0	0	0	0	1	0	0	1	6	1	0	0	0	2	4	1	1	0	0	4	1	1	0	1	0	1	4	5	2	5	1	3	3	6	0	1	1	3	3	4	1	0	7	0	2	15	0	0	2	0	0	1	6	1	1	2	6	0	2	1	0	0	5	0	5	0	1	4	1	8	0	1	2	2	5	0	2	3	7	3	5	15	0	2	2	7	5	5	1	0	1	4	0	14	2	0	0	3	0	0	3	5	1	8	5	0	1	1	1	1	17	2	0	1	3	0	4	0	18	4	5	7	1	4	1	0	3	0	1	0	0	0	1	0	7	1	0	1	2	2	1	0	3	3	0	4	1	0	2	1	6	0	7	5	0	5	1	0	3	2	3	1	4	2	1	0	1	8	0	0	1	3	1	0	6	3	0	0	0	0	0	2	6	0	1	2	3	3	4	0	2	1	0	0	0	0	1	0	1	3	17	2	0	1	0	3	1	0	0	0	0	2	6	1	0	1	2	0	1	1	0	3	1	4	0	7	1	0	1	0	2	2	0	0	2	3	0	11	2	0	1	1	3	2	1	3	0	0	3	0	2	3	1	15	2	11	0	0	0	1	6	0	1	2	1	0	0	2	0	0	0	1	0	3	4	2	5	0	0	0	4	0	1	0	2	2	5	0	0	0	2	1	0	0	3	2	0	2	4	4	0	0	3	0	3	1	0	1	0	5	0	0	0	0	0	4	1	2	0	3	1	0	0	2	1	1	1	2	2	0	0	0	8	3	4	1	1	1	3	4	1	1	0	3	0	4	3	0	1	7	1	4	1	2	1	0	0	0	0	0	4	4	0	4	0	3	0	1	0	0	0	0	1	0	4	1	2	2	1	0	2	0	2	2	3	0	0	1	0	2	3	3	1	2	2	0	1	16	0	1	0	12	0	0	1	0	1	0	15	1	1	0	0	17	0	1	0	0	0	1	1	1	0	0	3	0	0	1	0	0	4	2	0	0	15	0	0	0	2	9	0	0	3	2	2	3	2	0	1	2	0	0	1	0	0	0	0	0	0	0	2	2	3	0	0	3	1	1	0	1	0	3	1	5	0	1	1	0	2	0	3	0	0	0	0	5	0	4	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
ThinkProgress	0	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	4	0	0	0	0	0	0	1	1	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	1	1	0	0	0	0	0	2	1	0	0	0	1	0	1	2	0	0	0	0	2	1	1	2	0	6	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	0	1	3	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0
The Dish	4	0	0	0	3	0	3	0	1	0	0	2	5	1	1	1	35	4	0	2	7	13	0	1	12	1	0	3	6	0	0	11	2	0	0	1	0	0	3	0	0	0	0	0	4	0	4	1	2	1	3	6	6	2	5	0	1	5	1	2	2	1	1	1	11	2	17	1	0	2	1	1	1	1	0	1	0	0	2	0	0	0	0	3	0	0	3	0	6	0	3	1	2	1	1	0	5	3	0	1	2	0	0	0	0	4	0	3	0	1	1	2	4	1	1	1	2	1	1	0	0	0	0	6	3	4	2	1	2	7	0	0	0	5	2	0	0	6	1	1	4	1	4	1	2	2	4	0	3	0	1	2	0	6	1	0	0	3	1	2	0	1	12	1	0	0	7	2	0	0	0	3	4	2	2	11	1	1	0	1	0	2	1	0	0	0	5	2	0	0	1	0	1	3	8	3	0	3	0	0	0	0	1	0	2	0	0	3	1	0	1	0	1	1	0	0	0	1	3	0	1	1	0	0	2	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	7	0	7	1	2	0	3	0	0	1	1	2	0	1	0	1	3	4	0	5	3	0	1	0	2	0	1	33	1	0	0	3	3	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	1	2	2	0	0	0	0	1	0	0	1	1	0	3	4	0	1	3	0	0	0	0	1	0	0	1	0	0	4	0	0	2	0	1	0	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	4	0	0	0	2	0	0	0	1	0	2	1	0	0	0	6	3	0	0	0	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	2	0	2	0	1	0	0	0	2	2	0	0	0	3	0	0	0	0	2	1	0	0	4	0	4	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	2	1	0	1	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	1	1	0	0	3	1	1	0	1	0	0	0	3	0	0	0	0	1	1	2	0	0	1	1	2	0	0	1	0	1	0	0	0	0	2	1	0	0	0	2	4	0	0	0	2	0	0
WIL WHEATON dot NET	5	16	0	0	0	2	12	1	11	1	1	3	6	5	19	4	1	1	8	9	29	15	2	2	18	1	5	6	8	11	2	81	4	1	3	1	3	1	20	5	0	1	1	5	22	10	11	0	29	11	9	13	25	6	9	1	3	7	1	8	2	2	11	4	2	11	104	2	5	2	11	10	4	44	0	14	1	12	12	6	1	2	2	23	4	1	39	2	50	2	11	2	8	1	11	8	15	7	0	1	14	7	0	0	1	4	0	11	7	7	24	1	4	2	0	5	3	13	6	44	0	1	1	56	0	20	17	5	19	5	1	0	3	22	5	9	0	13	28	8	20	5	31	12	1	8	2	4	2	0	2	1	14	21	3	3	6	16	2	9	3	0	5	8	6	0	17	14	12	4	0	13	9	0	2	9	0	1	0	5	11	0	1	1	4	0	18	10	3	1	3	16	12	7	10	3	0	7	3	3	7	2	2	7	1	0	0	0	0	0	1	5	1	6	0	18	3	0	0	2	1	3	0	2	1	10	0	2	2	8	1	14	2	11	0	1	0	9	2	2	17	2	4	6	12	3	19	3	4	2	2	2	1	2	2	1	2	3	0	6	23	5	12	2	2	0	6	1	22	1	3	0	16	10	2	2	4	9	10	12	0	4	6	0	1	5	2	3	2	7	1	0	0	7	0	10	1	1	9	11	4	6	0	2	0	3	2	2	1	0	0	0	0	2	1	3	1	0	1	0	4	2	0	0	20	0	2	0	1	1	5	0	0	0	2	0	1	9	1	0	4	3	5	2	5	1	3	2	1	0	4	0	2	3	6	0	0	1	0	5	9	0	3	1	1	0	1	5	11	2	1	5	0	7	1	0	0	0	12	0	0	2	0	0	0	3	1	1	4	0	0	0	0	2	1	1	1	5	3	0	0	0	0	3	2	8	1	0	0	0	7	0	1	0	1	0	2	0	0	2	0	2	16	1	1	0	0	0	2	5	0	2	2	1	13	3	8	0	7	0	0	5	4	1	4	1	0	6	7	1	0	7	2	0	0	4	3	3	3	2	0	0	1	0	3	0	1	1	0	8	1	5	1	2	5	0	0	2	2	15	0	0	0	7	3	1	7	1	0	1	1	0	0	2	9	3	1	3	3	0	2	2	2	3	2	6	0	4	3	0	3	0	2	2	2	7	7	0	0	4	0	2
43 Folders	25	36	2	2	0	4	21	0	21	4	2	10	41	19	32	10	13	1	7	28	40	83	2	2	16	0	1	17	35	23	2	82	1	2	2	1	11	4	59	11	4	10	2	14	74	17	36	16	59	26	33	37	31	28	50	4	15	10	4	4	3	24	12	6	43	14	188	10	17	14	31	16	6	47	2	20	2	22	48	10	4	1	3	44	3	4	39	8	58	4	25	9	5	8	19	13	54	29	3	16	41	9	2	10	8	29	8	21	7	10	28	1	14	7	15	0	9	33	45	68	0	0	27	75	16	46	13	3	50	19	1	0	13	70	26	10	0	53	57	24	26	8	70	16	7	10	2	6	0	2	5	3	77	46	5	12	26	55	2	27	15	8	16	2	5	1	15	37	4	13	4	13	7	2	20	28	3	4	4	1	9	0	6	10	7	3	24	7	14	5	16	7	14	22	13	7	3	20	1	27	2	6	9	26	2	0	0	0	0	13	3	17	2	2	0	14	7	5	8	9	0	8	14	11	10	38	2	15	4	27	1	22	1	14	2	3	0	14	7	1	25	21	21	15	45	11	37	11	7	1	4	7	6	6	13	20	3	16	2	32	40	4	13	6	11	3	5	4	8	5	5	1	14	18	3	30	9	24	21	10	20	8	20	1	0	6	1	7	7	3	3	4	0	3	0	11	13	6	5	13	3	4	2	3	2	27	3	2	3	5	0	5	0	3	1	12	3	0	4	10	18	11	0	0	7	2	4	19	3	8	7	0	2	3	0	3	5	2	1	1	4	1	18	8	4	7	0	2	5	9	8	2	7	3	8	8	1	9	3	3	4	5	6	2	2	8	6	13	45	8	2	5	1	29	8	0	0	4	3	3	4	12	1	0	2	2	6	2	5	3	7	13	2	3	2	1	4	5	10	1	4	1	5	2	4	10	6	3	2	5	28	4	1	1	11	2	6	1	2	7	0	22	39	5	3	14	0	1	3	13	0	21	11	0	25	1	1	1	17	0	0	2	2	2	29	6	2	10	13	3	4	2	1	0	2	4	5	9	4	5	4	4	5	0	12	17	2	2	2	0	0	5	11	4	7	1	6	1	1	8	2	15	0	5	4	3	4	5	10	0	3	0	1	13	10	7	0	4	14	12	2	2	6	2	3	8	1	11	6	3	3	2	0	2	0	20	11	0	1	2	4	7
Autoblog	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	26	0	0	6	0	10	6	0	0	0	0	3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	3	0	2	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	6	3	0	0	0	1	1	0	0	1	8	0	0	3	5	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	4	4	0	0	3	26	0	0	0	0	0	0	0	0	1	0	1	0	7	3	1	1	0	2	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	3	0	0	0	0	0	0	0	0	0	21	0	0	0	0	1	0	0	0	0	0	4	0	9	0	0	1	0	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	24	0	0	0	0	4	26	0	0	0	3	0	5	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	0	0	26	0	0	0	1	0	3	0	0	26	3	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	104	0	0	0	0	0	0	0	0	3	2	0	0	3	2	6	0	1	1	0	0	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	26	0	0	5	1	0	3	0	0	0	0	2	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0
The Write News	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	1	0	0
blog maverick	0	0	0	1	0	0	1	0	2	0	0	3	1	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	3	0	3	0	2	0	4	3	2	0	2	0	2	0	0	1	0	0	1	0	0	0	4	0	0	1	1	0	0	1	0	1	0	0	0	0	0	3	0	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	1	3	1	1	0	0	2	0	2	0	2	0	0	0	0	1	2	0	0	1	1	1	0	2	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boing Boing	3	2	0	0	1	0	5	2	5	2	0	6	6	1	1	1	1	2	1	5	3	4	0	1	5	0	0	3	6	3	1	9	3	3	1	3	0	0	4	0	1	2	1	3	3	2	4	1	9	1	10	14	2	4	4	0	2	3	0	1	0	2	3	1	29	6	22	2	2	1	3	10	0	2	1	1	0	11	10	2	1	0	1	13	3	2	6	2	14	0	5	2	0	2	0	3	9	3	2	2	7	3	0	0	0	3	1	2	1	2	7	1	1	2	1	0	2	4	4	4	0	6	3	9	0	1	2	0	3	8	0	2	1	9	0	2	0	8	2	5	4	0	10	1	2	8	1	1	1	0	0	1	4	9	1	3	2	2	1	2	1	0	4	2	0	1	0	3	0	3	0	1	3	0	4	13	0	0	1	3	2	0	2	0	4	0	8	3	0	3	3	1	3	7	1	6	2	6	2	0	1	1	0	3	3	1	2	0	1	1	1	2	1	0	0	5	2	0	2	7	0	5	1	1	1	6	3	0	2	1	2	9	3	1	0	0	1	0	0	2	13	5	3	1	6	0	7	1	0	1	0	1	0	4	0	2	2	2	0	0	3	1	6	0	0	0	1	0	1	2	0	2	1	12	1	0	0	7	0	4	0	4	2	1	0	5	0	0	2	0	0	0	1	2	2	1	1	0	0	5	0	0	0	0	0	5	1	3	2	15	1	1	0	1	0	0	1	1	0	3	1	11	1	0	0	0	4	0	0	1	0	1	2	3	0	2	2	1	0	0	1	0	1	0	1	3	1	0	1	0	2	0	4	2	3	0	3	0	0	0	1	1	1	1	0	2	2	3	5	2	3	4	5	1	1	1	2	3	3	1	0	1	0	0	0	0	1	2	2	3	0	4	3	0	8	3	0	4	2	0	3	0	1	0	0	4	1	0	0	0	4	3	2	0	0	0	3	3	0	1	0	0	2	3	0	6	1	1	1	1	3	1	0	2	0	0	6	2	2	1	3	0	5	2	1	0	2	2	1	0	1	5	3	0	0	1	0	0	3	3	6	0	1	1	2	2	2	2	0	1	2	3	3	1	0	0	2	1	0	1	1	0	0	1	1	1	2	2	1	1	2	3	0	0	0	1	0	1	1	1	1	0	1	2	4	0	0	1	1	2	2	1	2	0	0	1	0	4	0	2	1	1
BuzzMachine	2	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	4	0	0	4	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	4	3	1	1	1	0	1	0	0	0	1	2	0	0	3	4	0	0	0	2	0	1	4	0	1	0	2	0	0	1	0	0	0	1	1	0	0	4	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	15	0	3	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	3	2	0	0	2	2	3	2	1	1	6	0	1	3	2	2	1	0	0	4	0	0	1	15	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	2	1	0	1	3	1	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	0	5	1	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	1	0	0	1	0	0	0	0	1	3	1	0	0	2	0	0	0	0	2	0	1	3	2	0	0	0	0	0	1	0	0	0	2	0	10	1	10	0	4	0	0	0	0	0	0	0	1	0	1	0	1	2	3	0	0	1	1	0	0	0	1	1	1	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	7	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	4	0	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	1	1	1	2	0
